loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': True, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': True, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v4c', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)  dfmult  sat   buf  bscaf   rnll    sec
   540   -0.0704   -0.133 -0.078   0.064  0.189   2.849  0.001    99.2  100.0     0.693   12.5    100.0   0.965   12   189     69  0.346   1.22
   550   -0.0610   -0.118 -0.082   0.074  0.192   3.608  0.001   100.0   99.2     0.709   18.8    100.0   0.960   12   196     72  0.292   1.26
   560   -0.0475   -0.091 -0.082   0.082  0.174   4.257  0.001   100.0  100.0     0.672   24.2    100.0   0.951   12   202     75  0.312   1.22
   570    0.0235   -0.092 -0.082   0.087  0.171   4.580  0.011    99.2   99.2     0.603   33.6     91.7   0.930   12   207     76  0.264   1.17
   580    0.2587   -0.136 -0.082   0.060  0.179   3.628  0.130    98.4  100.0     0.635   19.5     91.7   0.977   12   230     89  0.318   1.19
   590   -0.0962   -0.150 -0.082   0.079  0.229   1.775  0.058   100.0  100.0     0.820    5.5     75.0   0.988   12   236     94  0.375   1.28
   600   -0.1338   -0.149 -0.088   0.075  0.224   1.691  0.002   100.0  100.0     0.797    4.7    100.0   0.981   12   241     96  0.349   1.26
      saved checkpoint @ step 600 | examples: ['Clc1ccc(OCc2ccccc2)cc1', 'C[C@H](O)CN(C)S(=O)(=O)CCc1ncc[nH]1', 'O=C(NC1CCCCCCC1)NC1CC(=O)N(c2cccc(Cl)c2)C1', 'Cn1c(=O)c(=O)[nH]c2cc(C(=O)Nc3ccc(Cl)cc3)cnc21', 'COc1ccc(/C=N/NC(=O)c2ccccc2O)cc1']
   610   -0.0780   -0.121 -0.088   0.093  0.214   2.336  0.001   100.0  100.0     0.742   12.5     91.7   0.921   12   247    100  0.358   1.20
   620   -0.0548   -0.102 -0.088   0.095  0.189   3.632  0.001    99.2   98.4     0.728   21.1     91.7   0.926   13   253    101  0.327   1.33
   630   -0.0279   -0.101 -0.088   0.072  0.173   3.818  0.001   100.0   99.2     0.606   21.1    100.0   0.903   13   265    103  0.311   1.19
   640    0.1380   -0.069 -0.088   0.114  0.168   5.911  0.038    98.4   94.4     0.613   39.8     91.7   0.924   14   306    120  0.281   1.20
   650    0.1591   -0.125 -0.081   0.113  0.222   2.707  0.130    98.4  100.0     0.778   11.7     83.3   0.919   14   334    129  0.363   1.25
   660   -0.1302   -0.147 -0.081   0.088  0.227   1.888  0.017    99.2  100.0     0.843    4.7     91.7   0.970   14   341    130  0.353   1.22
   670   -0.1110   -0.129 -0.081   0.086  0.215   2.207  0.001   100.0  100.0     0.828    8.6    100.0   0.954   14   351    137  0.301   1.26
   680   -0.0671   -0.121 -0.081   0.121  0.227   3.021  0.001    98.4  100.0     0.833   14.1    100.0   0.923   14   367    145  0.266   1.19
   690   -0.0812   -0.042 -0.081   0.154  0.196   4.334  0.001   100.0   99.2     0.748   21.1    100.0   0.883   16   391    154  0.290   1.28
   700    0.0827    0.017 -0.083   0.218  0.201   7.223  0.026   100.0   96.9     0.677   34.4    100.0   0.870   19   478    189  0.248   1.27
   710    0.2950   -0.117 -0.083   0.094  0.210   2.529  0.292   100.0  100.0     0.836   11.7     83.3   0.971   21   543    233  0.345   1.25
   720   -0.2854   -0.172 -0.083   0.069  0.226   1.952  0.038    98.4  100.0     0.921    6.2     75.0   0.968   21   551    239  0.360   1.26
   730   -0.2199   -0.158 -0.083   0.067  0.224   1.771  0.002   100.0  100.0     0.875    3.9     83.3   0.965   21   555    241  0.449   1.25
   740   -0.1434   -0.138 -0.083   0.081  0.218   2.505  0.001   100.0  100.0     0.836   11.7    100.0   0.973   21   560    243  0.304   1.25
   750   -0.0922   -0.120 -0.089   0.075  0.194   2.759  0.001   100.0  100.0     0.734   15.6    100.0   0.917   21   571    246  0.321   1.21
   760   -0.0639   -0.113 -0.089   0.074  0.186   3.860  0.001   100.0   98.4     0.659   21.9     91.7   0.934   21   586    253  0.317   1.19
   770   -0.0243   -0.074 -0.089   0.094  0.168   4.543  0.008   100.0   97.7     0.712   32.0    100.0   0.891   22   623    269  0.292   1.26
   780    0.2905   -0.079 -0.089   0.126  0.205   3.862  0.130   100.0   99.2     0.661   20.3     91.7   0.880   22   665    282  0.333   1.25
   790    0.0292   -0.149 -0.089   0.072  0.221   2.054  0.130   100.0  100.0     0.844    7.8    100.0   0.956   22   682    291  0.360   1.26
   800   -0.1750   -0.142 -0.094   0.100  0.242   1.972  0.008   100.0  100.0     0.797    7.0    100.0   0.949   22   690    295  0.388   1.31
      saved checkpoint @ step 800 | examples: ['CC(C)(O)CNC(=O)NC(=O)COc1ccc(F)cc1Cl', 'CCc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CC3CC3CCN(C)C3)ncc2c1', 'CN1CC2(c3ccccc3)C=CCN2C1=S', 'N#CCC(C#N)Cc1ccc(Br)cc1', 'CCCCCCCN(C)C(=O)Cc1nc(-c2ccc(Cl)cc2)oc1C']
   810   -0.1079   -0.145 -0.094   0.086  0.231   2.136  0.001   100.0  100.0     0.820    5.5     91.7   0.934   22   706    302  0.329   1.29
   820   -0.0673   -0.132 -0.094   0.086  0.218   2.818  0.001   100.0  100.0     0.805   10.9     91.7   0.951   22   720    308  0.353   1.26
   830   -0.0348   -0.118 -0.094   0.091  0.201   2.955  0.001    99.2  100.0     0.787   15.6     91.7   0.927   22   738    309  0.338   1.25
   840   -0.0663   -0.064 -0.094   0.138  0.202   4.204  0.001   100.0  100.0     0.758   27.3    100.0   0.917   23   767    315  0.337   1.24
   850    0.0280   -0.025 -0.096   0.174  0.199   5.552  0.017   100.0   96.9     0.718   33.6    100.0   0.850   24   832    338  0.246   1.24
   860    0.4904   -0.083 -0.096   0.155  0.238   4.401  0.195   100.0  100.0     0.789   24.2    100.0   0.886   25   886    353  0.364   1.35
   870   -0.0060   -0.150 -0.096   0.083  0.233   2.333  0.130   100.0  100.0     0.875    9.4     91.7   0.960   26   892    355  0.415   1.35
   880   -0.1953   -0.162 -0.096   0.062  0.224   1.687  0.011   100.0  100.0     0.867    5.5    100.0   0.951   26   893    355  0.436   1.30
   890   -0.1246   -0.155 -0.096   0.067  0.222   2.048  0.001   100.0  100.0     0.773    7.8     91.7   0.951   27   897    356  0.329   1.22
   900   -0.0759   -0.150 -0.101   0.064  0.213   2.345  0.001   100.0  100.0     0.852   10.2     83.3   0.948   27   901    357  0.352   1.32
   910   -0.0481   -0.139 -0.101   0.072  0.211   2.860  0.001   100.0  100.0     0.773   14.8     83.3   0.945   28   907    360  0.343   1.21
   920   -0.0194   -0.137 -0.101   0.061  0.191   3.221  0.001    99.2  100.0     0.772   14.8    100.0   0.939   29   916    364  0.348   1.29
   930   -0.0281   -0.111 -0.101   0.080  0.190   3.961  0.001   100.0   98.4     0.714   21.1    100.0   0.903   29   922    365  0.336   1.21
   940   -0.0208   -0.081 -0.101   0.105  0.178   5.092  0.002    99.2   94.5     0.708   37.5    100.0   0.854   30   940    372  0.306   1.19
   950    0.3028   -0.090 -0.089   0.097  0.187   4.588  0.086   100.0   97.7     0.736   25.0     91.7   0.914   31   965    382  0.291   1.22
   960    0.3804   -0.186 -0.089   0.079  0.227   3.659  0.195    96.1  100.0     0.886    5.5     83.3   0.968   33   992    395  0.522   1.25
   970   -0.1773   -0.171 -0.089   0.067  0.230   1.427  0.130    99.2  100.0     0.874    4.7     75.0   0.940   33   999    399  0.494   1.31
   980   -0.2541   -0.143 -0.089   0.083  0.226   1.967  0.005   100.0  100.0     0.867    7.8     83.3   0.938   33  1000    399  0.432   1.30
   990   -0.1422   -0.155 -0.089   0.065  0.220   2.595  0.002   100.0  100.0     0.859    3.9     91.7   0.939   33  1000    401  0.399   1.28
  1000   -0.0758   -0.154 -0.095   0.061  0.208   2.450  0.002    99.2  100.0     0.764   10.2    100.0   0.900   33  1000    401  0.423   1.23
      saved checkpoint @ step 1000 | examples: ['Cc1c(NC(=S)NC(=O)c2ccco2)c(=O)n(-c2ccccc2)n1C', 'O=C(O)c1cc(Br)cc(Cl)c1O', 'COc1cncc(-c2ccccc2)c1', 'O=S(=O)(Cc1cc(Cl)c(O)cc1O)c1ccc(Cl)cc1', 'C=CCNC(=O)C1CCN(C(=O)c2ccccc2)CC1']
  1010   -0.0551   -0.135 -0.095   0.074  0.209   2.672  0.002   100.0  100.0     0.766   11.7    100.0   0.911   33  1000    402  0.403   1.28
  1020   -0.0242   -0.136 -0.095   0.081  0.209   2.969  0.002    99.2   97.6     0.726   17.2    100.0   0.887   33  1000    403  0.386   1.21
  1030   -0.0241   -0.119 -0.095   0.059  0.170   3.890  0.002    99.2   94.5     0.675   25.0    100.0   0.909   33  1000    405  0.326   1.24
  1040    0.0740   -0.090 -0.095   0.065  0.155   4.560  0.026   100.0   86.7     0.757   39.1    100.0   0.870   33  1000    406  0.360   1.25
  1050    0.1118   -0.118 -0.089   0.083  0.201   3.473  0.058   100.0   99.2     0.740   18.8     91.7   0.898   33  1000    410  0.334   1.26
  1060    0.0417   -0.132 -0.089   0.084  0.209   2.573  0.058    99.2   99.2     0.802   16.4    100.0   0.930   36  1000    412  0.352   1.22
  1070   -0.0115   -0.145 -0.089   0.081  0.226   2.341  0.038   100.0  100.0     0.852   10.2    100.0   0.937   36  1000    419  0.351   1.31
  1080   -0.0193   -0.133 -0.089   0.110  0.227   2.513  0.026    98.4  100.0     0.810   16.4     91.7   0.893   36  1000    423  0.345   1.31
  1090   -0.0326   -0.138 -0.089   0.087  0.226   2.045  0.017   100.0  100.0     0.789    9.4    100.0   0.943   36  1000    429  0.308   1.29
  1100   -0.0215   -0.143 -0.094   0.081  0.216   2.168  0.017    99.2  100.0     0.843   10.9     91.7   0.932   36  1000    434  0.316   1.29
  1110   -0.0211   -0.121 -0.094   0.094  0.215   2.564  0.017   100.0  100.0     0.805   10.9     91.7   0.927   36  1000    437  0.336   1.34
  1120   -0.0020   -0.109 -0.094   0.110  0.211   2.986  0.017    99.2   99.2     0.810   28.1    100.0   0.894   36  1000    441  0.384   1.31
  1130    0.0126   -0.123 -0.094   0.115  0.230   3.078  0.017    99.2   97.6     0.766   24.2    100.0   0.871   36  1000    448  0.351   1.21
  1140    0.0005   -0.079 -0.094   0.171  0.242   3.430  0.017    99.2  100.0     0.811   24.2    100.0   0.870   37  1000    452  0.300   1.30
  1150    0.0417   -0.069 -0.095   0.181  0.242   4.567  0.026    99.2  100.0     0.787   30.5    100.0   0.827   39  1000    459  0.292   1.28
  1160    0.0214   -0.085 -0.095   0.163  0.240   3.505  0.026    99.2  100.0     0.795   27.3    100.0   0.813   40  1000    467  0.288   1.42
  1170    0.0091   -0.051 -0.095   0.193  0.244   4.088  0.026   100.0   99.2     0.780   28.1    100.0   0.850   40  1000    474  0.294   1.41
  1180    0.0309   -0.070 -0.095   0.177  0.247   3.680  0.038   100.0   99.2     0.819   32.0    100.0   0.857   41  1000    485  0.300   1.49
  1190    0.0270   -0.060 -0.095   0.177  0.237   3.554  0.038   100.0   99.2     0.811   32.0    100.0   0.866   41  1000    497  0.283   1.43
  1200    0.0089   -0.110 -0.097   0.134  0.243   2.643  0.038   100.0  100.0     0.805   25.8    100.0   0.880   43  1000    511  0.306   1.41
      saved checkpoint @ step 1200 | examples: ['CN(C)CCN(C)C(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'O=C(NCCCc1c[nH]cn1)NC(c1ccccc1)c1ccccc1', 'O=C(NCC1CCCO1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'O=C(NCCCCc1ccccc1)/C(Cc1ccc2c(c1)OCO2)=N\\O', 'O=C(c1ccccc1)c1ccccc1']
  1210    0.0069   -0.096 -0.097   0.143  0.239   2.652  0.038   100.0  100.0     0.836   20.3    100.0   0.868   43  1000    526  0.337   1.45
  1220    0.0170   -0.121 -0.097   0.132  0.245   2.889  0.038    99.2  100.0     0.772   19.5     91.7   0.929   44  1000    536  0.338   1.43
  1230    0.0015   -0.156 -0.097   0.085  0.226   2.073  0.026    98.4  100.0     0.833   12.5     91.7   0.930   46  1000    541  0.323   1.38
  1240   -0.0206   -0.140 -0.097   0.096  0.236   1.862  0.017   100.0  100.0     0.859   14.1     91.7   0.926   47  1000    553  0.285   1.41
  1250    0.0017   -0.136 -0.100   0.105  0.218   2.686  0.017    97.7   99.2     0.823   20.3     91.7   0.920   47  1000    562  0.301   1.36
  1260   -0.0053   -0.092 -0.100   0.153  0.238   3.270  0.017    99.2  100.0     0.866   25.8    100.0   0.854   48  1000    577  0.286   1.39
  1270    0.0335   -0.015 -0.100   0.256  0.263   5.319  0.026    99.2  100.0     0.874   36.7    100.0   0.801   49  1000    602  0.326   1.37
  1280    0.0889   -0.101 -0.100   0.137  0.237   2.622  0.086   100.0  100.0     0.859   21.9    100.0   0.909   51  1000    635  0.310   1.41
  1290   -0.0555   -0.116 -0.100   0.129  0.245   1.923  0.017   100.0  100.0     0.867   18.0    100.0   0.910   51  1000    646  0.348   1.47
  1300   -0.0534   -0.070 -0.104   0.180  0.250   2.942  0.017   100.0  100.0     0.844   27.3    100.0   0.873   52  1000    663  0.274   1.47
  1310   -0.0297   -0.069 -0.104   0.185  0.254   3.283  0.017   100.0  100.0     0.891   23.4     91.7   0.891   54  1000    703  0.303   1.40
  1320    0.3920    0.044 -0.104   0.297  0.253   5.466  0.130   100.0  100.0     0.867   43.8    100.0   0.864   56  1000    775  0.292   1.47
  1330   -0.0465   -0.170 -0.104   0.113  0.252   1.883  0.026    96.9  100.0     0.871    8.6    100.0   0.912   57  1000    792  0.306   1.37
  1340   -0.0428   -0.167 -0.104   0.106  0.233   2.015  0.003    96.1  100.0     0.902    9.4     91.7   0.950   58  1000    804  0.323   1.38
  1350   -0.0868   -0.061 -0.107   0.180  0.233   3.559  0.003    99.2  100.0     0.874   23.4    100.0   0.897   59  1000    828  0.301   1.45
  1360    0.3797    0.009 -0.107   0.268  0.259   4.967  0.130   100.0  100.0     0.867   40.6    100.0   0.853   60  1000    911  0.263   1.44
  1370   -0.1525   -0.175 -0.107   0.076  0.244   1.534  0.292    99.2  100.0     0.874    7.8     83.3   0.972   60  1000    932  0.397   1.30
