loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': False, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': False, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'transfer_learning': True, 'tl_every': 500, 'tl_start': 1000, 'tl_epochs': 2, 'tl_batch': 128, 'tl_max_mols': 500, 'tl_min_mols': 50, 'tl_lr': 1e-05, 'tl_max_kl': 8.0, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v5a', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)   buf  bscaf   rnll    sec
   580   -0.0268   -0.139 -0.087   0.038  0.177   3.065  0.003   100.0  100.0     0.617   14.1    100.0     9      5  0.000   1.12
   590   -0.0249   -0.129 -0.087   0.032  0.153   3.849  0.003    99.2   98.4     0.560   28.1    100.0     9      5  0.000   0.93
   600   -0.0207   -0.123 -0.088   0.034  0.157   3.948  0.003   100.0  100.0     0.555   27.3     91.7     9      5  0.000   1.08
      saved checkpoint @ step 600 | examples: ['Nc1nc(O)cc(Nc2ccc(F)cc2)n1', 'CC(N)c1ccccc1', 'COc1ccc(-c2cccs2)cc1', 'O=C(CCCCc1cccc(F)c1)NO', 'CCN(CC)CCCCNC(=O)NC(C)c1ccccc1[N+](=O)[O-]']
   610    0.0124   -0.112 -0.088   0.029  0.141   4.516  0.011   100.0   98.4     0.571   31.2    100.0     9      5  0.000   0.88
   620    0.1181   -0.115 -0.088   0.030  0.146   4.042  0.058   100.0   98.4     0.563   30.5    100.0     9      5  0.000   1.09
   630    0.0432   -0.151 -0.088   0.045  0.188   2.817  0.058    99.2  100.0     0.677   13.3    100.0     9      5  0.000   0.97
   640   -0.0627   -0.159 -0.088   0.055  0.213   1.768  0.026   100.0  100.0     0.883    7.0     83.3     9      5  0.000   1.07
   650   -0.0662   -0.163 -0.093   0.057  0.213   2.109  0.005    99.2  100.0     0.724    8.6     83.3     9      5  0.000   1.07
   660   -0.0516   -0.146 -0.093   0.048  0.194   2.228  0.005   100.0  100.0     0.734   14.1     91.7     9      5  0.000   1.05
   670   -0.0335   -0.145 -0.093   0.040  0.178   2.816  0.003    99.2  100.0     0.677   16.4    100.0     9      5  0.000   0.89
   680   -0.0499   -0.110 -0.093   0.059  0.169   3.313  0.003   100.0   96.1     0.618   25.0    100.0     9      5  0.000   0.95
   690   -0.0207   -0.122 -0.093   0.028  0.142   4.436  0.003    99.2   94.5     0.550   32.8     91.7     9      5  0.000   0.95
   700   -0.0111   -0.111 -0.089   0.028  0.139   4.299  0.005   100.0   94.5     0.421   33.6     83.3    10      5  0.000   0.88
   710    0.2258   -0.090 -0.089   0.040  0.129   4.473  0.086   100.0   93.8     0.517   42.2     83.3    10      5  0.000   0.96
   720    0.0383   -0.002 -0.089   0.202  0.181   3.889  0.086    97.7   87.2     0.679   29.7    100.0    13      5  0.000   0.97
   730    0.0971    0.038 -0.089   0.240  0.201   3.553  0.130   100.0   85.9     0.791   25.0    100.0    19      8  0.000   0.98
   740   -0.1162   -0.092 -0.089   0.145  0.214   2.106  0.058    97.7   95.2     0.849   13.3    100.0    21      9  0.000   0.99
   750    0.1939    0.090 -0.093   0.298  0.208   3.590  0.195   100.0   79.7     0.882   28.9    100.0    25     11  0.000   1.00
   760   -0.2113   -0.111 -0.093   0.113  0.224   1.770  0.011   100.0   96.9     0.935   11.7     91.7    26     11  0.000   1.09
   770   -0.2873    0.293 -0.093   0.470  0.177   6.007  0.038   100.0   62.5     0.787   47.7    100.0    26     11  0.000   0.96
   780   13.0445   -0.180 -0.093   0.082  0.262   8.466  2.217   100.0  100.0     0.852    0.8     91.7    26     11  0.000   1.01
   790   30.2364   -0.198 -0.093   0.087  0.262   3.569 20.000    97.7  100.0     0.960    1.6     83.3    26     11  0.000   1.08
   800  -26.5683   -0.177 -0.100   0.071  0.241   1.571  2.634    99.2  100.0     0.890    1.6     91.7    26     11  0.000   1.04
      saved checkpoint @ step 800 | examples: ['Cc1c[nH]c2ccc(N/C=C3\\C(=O)NC(=O)c4ccc(CN5CCOCC5)cc43)cc12', 'Cc1c(N2C(=O)C3CC=CCC3C2=O)cccc1S(N)(=O)=O', 'O=C(NO)c1nc2ccc(Cl)cc2s1', 'O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(NC(=O)c2cccc3ccccc23)cc1', 'Cc1nnc(-c2cccc(NC(=O)Nc3ccc(F)c(Cl)c3)c2)o1']
   810  -16.6374   -0.157 -0.100   0.054  0.211   3.389  0.780   100.0  100.0     0.781    4.7    100.0    26     11  0.000   0.99
   820    4.3148   -0.142 -0.100   0.044  0.187   4.764  3.951   100.0   97.7     0.664   19.5     91.7    26     11  0.000   0.95
   830   -3.6064   -0.158 -0.100   0.057  0.215   2.535  3.951   100.0  100.0     0.867    5.5     83.3    26     11  0.000   0.94
   840   -6.9168   -0.171 -0.100   0.068  0.240   2.401  1.756   100.0  100.0     0.859    3.1    100.0    26     11  0.000   0.97
   850   -3.8738   -0.163 -0.106   0.060  0.223   2.659  1.756   100.0  100.0     0.812    4.7     83.3    26     11  0.000   0.99
   860   -2.5383   -0.164 -0.106   0.059  0.223   2.537  1.756   100.0  100.0     0.844    5.5     91.7    26     11  0.000   1.06
   870   -2.9926   -0.162 -0.106   0.059  0.221   2.397  1.171   100.0  100.0     0.867    9.4     91.7    26     11  0.000   1.00
   880   -2.4322   -0.166 -0.106   0.062  0.228   2.456  0.780   100.0  100.0     0.797    7.0     75.0    26     11  0.000   0.95
   890   -1.2044   -0.167 -0.106   0.067  0.235   2.790  0.780   100.0  100.0     0.820    6.2    100.0    26     11  0.000   1.00
   900   -1.0557   -0.169 -0.111   0.067  0.237   2.278  0.780   100.0  100.0     0.852    7.0     91.7    26     11  0.000   0.97
   910   -1.6010   -0.180 -0.111   0.068  0.233   2.069  0.347    98.4  100.0     0.865    4.7     91.7    26     11  0.000   1.02
   920   -1.0551   -0.163 -0.111   0.057  0.220   2.381  0.231   100.0  100.0     0.852    7.0     91.7    26     11  0.000   1.08
   930   -0.6200   -0.167 -0.111   0.064  0.231   2.427  0.231   100.0  100.0     0.844    6.2     91.7    26     11  0.000   1.12
   940   -0.4147   -0.169 -0.111   0.065  0.234   2.163  0.231   100.0   99.2     0.850    5.5     83.3    26     11  0.000   1.12
   950   -0.4117   -0.166 -0.115   0.065  0.232   2.134  0.154   100.0  100.0     0.875    7.8     83.3    26     11  0.000   1.07
   960   -0.4061   -0.170 -0.115   0.066  0.236   2.091  0.046   100.0  100.0     0.891   10.2     83.3    26     11  0.000   1.09
   970   -0.2560   -0.169 -0.115   0.059  0.221   2.319  0.030    99.2  100.0     0.835    8.6    100.0    26     11  0.000   0.99
   980   -0.1614   -0.165 -0.115   0.063  0.228   2.049  0.030   100.0  100.0     0.828    7.0    100.0    26     11  0.000   1.01
   990   -0.1246   -0.166 -0.115   0.065  0.231   2.207  0.009   100.0  100.0     0.867    9.4     83.3    26     11  0.000   1.05
  1000   -0.0886   -0.166 -0.119   0.061  0.227   2.184  0.003   100.0  100.0     0.812    3.9    100.0    26     11  0.000   0.76
      saved checkpoint @ step 1000 | examples: ['Cc1ccc(OCCC(=O)Nc2ccc(N(C)C)nn2)cc1', 'Cn1c(CNc2ccc(C(=O)NO)cc2)nc2ccccc21', 'CCCCCCOc1cc(-c2ccc3c(c2)OCO3)nc2ccccc12', 'O=NN(CCF)C(=S)NCc1ccc(-c2ccccc2)cc1', 'Cc1ccc(CC(=O)N(CCN(C)C)C(C)C)cn1']
  1010   -0.0538   -0.165 -0.119   0.062  0.228   2.125  0.003   100.0  100.0     0.789    9.4     83.3    26     11  0.000   0.79
  1020   -0.0318   -0.166 -0.119   0.063  0.229   2.168  0.003   100.0  100.0     0.773    9.4     83.3    26     11  0.000   0.80
  1030   -0.0196   -0.165 -0.119   0.062  0.226   2.356  0.003   100.0  100.0     0.828    8.6     91.7    26     11  0.000   1.06
  1040   -0.0149   -0.160 -0.119   0.057  0.217   2.421  0.003   100.0  100.0     0.828   12.5     83.3    26     11  0.000   0.89
  1050   -0.0142   -0.157 -0.122   0.055  0.212   2.336  0.003   100.0  100.0     0.781   18.0    100.0    26     11  0.000   0.75
  1060   -0.0165   -0.150 -0.122   0.047  0.197   2.642  0.003   100.0  100.0     0.750   23.4     91.7    26     11  0.000   0.67
  1070   -0.0125   -0.151 -0.122   0.048  0.199   2.386  0.003   100.0  100.0     0.727   20.3     91.7    26     11  0.000   1.04
  1080   -0.0045   -0.156 -0.122   0.056  0.212   2.598  0.003   100.0  100.0     0.797   16.4    100.0    26     11  0.000   1.07
  1090    0.0010   -0.162 -0.122   0.050  0.204   2.429  0.003    99.2  100.0     0.780   14.1     83.3    26     11  0.000   1.01
  1100   -0.0036   -0.156 -0.123   0.053  0.209   2.627  0.003   100.0  100.0     0.727   13.3     75.0    26     11  0.000   0.96
  1110   -0.0050   -0.153 -0.123   0.050  0.203   2.801  0.003   100.0  100.0     0.750   20.3    100.0    26     11  0.000   0.98
  1120   -0.0126   -0.143 -0.123   0.043  0.186   2.916  0.003   100.0  100.0     0.680   28.1    100.0    26     11  0.000   0.90
  1130   -0.0042   -0.150 -0.123   0.047  0.197   2.764  0.003   100.0  100.0     0.773   21.1    100.0    26     11  0.000   0.91
  1140    0.0048   -0.159 -0.123   0.050  0.202   2.681  0.003    99.2   99.2     0.690   21.1    100.0    26     11  0.000   0.94
  1150   -0.0039   -0.148 -0.124   0.046  0.194   2.998  0.003   100.0  100.0     0.688   22.7    100.0    26     11  0.000   0.92
  1160   -0.0010   -0.152 -0.124   0.043  0.187   3.015  0.003    99.2  100.0     0.677   22.7    100.0    26     11  0.000   0.98
  1170   -0.0063   -0.144 -0.124   0.044  0.188   3.150  0.003   100.0   99.2     0.693   27.3     91.7    26     11  0.000   1.01
  1180   -0.0066   -0.140 -0.124   0.041  0.181   3.561  0.003   100.0  100.0     0.680   32.8    100.0    26     11  0.000   0.99
  1190   -0.0028   -0.143 -0.124   0.043  0.185   3.333  0.003   100.0   99.2     0.732   31.2    100.0    26     11  0.000   0.91
  1200   -0.0046   -0.139 -0.124   0.040  0.179   3.481  0.003   100.0  100.0     0.656   29.7     91.7    26     11  0.000   0.99
      saved checkpoint @ step 1200 | examples: ['O=C(N=Cc1ccc(Br)cc1)c1ccccc1', 'N=C(N)N1CCc2ccccc2C1', 'O=C(O)CN1CCCCCC1', 'FC(F)c1ccccc1', 'O=C(O)CCCCCCCCO']
  1210   -0.0087   -0.132 -0.124   0.036  0.168   3.728  0.003   100.0   97.7     0.608   42.2     91.7    26     11  0.000   1.03
  1220   -0.0111   -0.126 -0.124   0.034  0.160   3.958  0.003   100.0   96.1     0.610   42.2    100.0    26     11  0.000   1.02
  1230   -0.0049   -0.129 -0.124   0.036  0.165   3.993  0.003   100.0   96.9     0.556   41.4    100.0    26     11  0.000   0.74
  1240   -0.0110   -0.114 -0.124   0.029  0.143   4.426  0.004   100.0   97.7     0.608   53.1    100.0    26     11  0.000   0.78
  1250    0.1144   -0.119 -0.100   0.030  0.149   4.544  0.030   100.0   93.8     0.500   30.5    100.0    26     11  0.000   0.89
  1260    0.1638   -0.134 -0.100   0.034  0.160   3.882  0.069    99.2   99.2     0.619   32.0     91.7    26     11  0.000   0.93
  1270    0.0636   -0.146 -0.100   0.042  0.179   3.080  0.069    99.2   98.4     0.696   20.3    100.0    26     11  0.000   0.90
  1280    0.0177   -0.148 -0.100   0.048  0.196   2.708  0.069   100.0  100.0     0.742   10.9    100.0    26     11  0.000   1.06
  1290    0.0050   -0.158 -0.100   0.048  0.198   2.470  0.069    99.2  100.0     0.756    7.8     83.3    26     11  0.000   1.02
  1300   -0.0745   -0.159 -0.104   0.053  0.212   1.892  0.046   100.0  100.0     0.789   10.9    100.0    26     11  0.000   1.02
  1310   -0.0437   -0.157 -0.104   0.056  0.213   2.059  0.046   100.0  100.0     0.781   11.7     91.7    26     11  0.000   0.99
  1320   -0.0513   -0.160 -0.104   0.056  0.216   2.042  0.030   100.0  100.0     0.781    8.6     91.7    26     11  0.000   0.98
  1330   -0.0744   -0.159 -0.104   0.057  0.216   1.950  0.004   100.0  100.0     0.750    7.0     83.3    26     11  0.000   1.04
  1340   -0.0442   -0.165 -0.104   0.053  0.210   2.024  0.001    99.2  100.0     0.811    5.5    100.0    26     11  0.000   1.05
  1350   -0.0413   -0.151 -0.107   0.052  0.202   2.240  0.001   100.0  100.0     0.781   14.8     83.3    26     11  0.000   1.00
  1360   -0.0205   -0.157 -0.107   0.047  0.197   2.201  0.001    99.2  100.0     0.780   14.1    100.0    26     11  0.000   0.96
  1370   -0.0213   -0.145 -0.107   0.042  0.187   2.763  0.001   100.0  100.0     0.695   16.4     91.7    26     11  0.000   0.98
